ID,Size,Width,Above Average 
1,0.95,0.12%,1
2,0.7,0.05%,0
3,1.1,0.07%,0
4,0.3,0.02%,0
5,0.15,0.02%,0
6,0.2,0.21%,1
7,0.15,0.21%,1
8,0.15,0.14%,1
9,0.3,0.05%,0
10,0.1,0.25%,1
11,0.4,0.11%,1
12,0.4,0.12%,1
13,0.5,0.04%,0
14,0.8,0.07%,0
15,0.6,0.11%,1
16,0.15,0.14%,1
17,1.2,0.08%,0
18,0.8,0.08%,0
19,0.4,0.08%,0
20,1,0.05%,0
21,0.5,0.10%,1
22,0.5,0.13%,1
23,3,0.12%,1
24,0.45,0.13%,1
25,1,0.04%,0
26,0.15,0.19%,1
27,0.5,0.04%,0
28,0.4,0.05%,0
29,0.6,0.05%,0
30,0.4,0.05%,0
31,0.4,0.05%,0
32,0.45,0.11%,1
33,0.25,0.17%,1
34,1,0.08%,0
35,1,0.02%,0
36,0.15,0.07%,0
37,0.45,0.05%,0
38,1.2,0.03%,0
39,0.5,0.09%,1
40,0.6,0.09%,1
41,1,0.06%,0
42,0.3,0.07%,0
43,1,0.09%,1
44,0.4,0.09%,1
45,0.4,0.08%,0
46,1,0.02%,0
47,0.8,0.01%,0
48,0.4,0.01%,0
49,1.5,0.03%,0
50,0.65,0.03%,0
51,0.2,0.01%,0
52,2,0.11%,1
53,2.2,0.11%,1
54,0.8,0.04%,0
55,0.3,0.09%,1
56,0.8,0.08%,0
57,0.7,0.05%,0
58,0.3,0.07%,0
59,0.65,0.05%,0
60,0.3,0.22%,1
61,0.8,0.05%,0
62,0.7,0.01%,0
63,0.5,0.12%,1
64,0.12,0.08%,0
65,0.25,0.08%,0
66,0.2,0.13%,1
67,0.8,0.07%,0
